tx_date,address,symbol,usd_spent,sol_spent,entryPrice,token_amount_received,TP_price_1,TP_price_2,TP_price_3,PNL,USD_value
17-04-2024 20:28:32,Ab7qggFMWB9hxuMpneF5LtgQcmv5ykPPhuxA6Rr4kvkA,VMCATS,3.00,0.02,0.000049837,60196.13,0.000084723,0.000122101,0.000231742,,
17-04-2024 22:04:28,fLAt6Ue5rxeJrceXkwcjQjp45H7SRNZZGDks272j2Wn,Udder,3.00,0.02,0.000021730,138057.28,0.000036941,0.000053239,0.000101045,,
18-04-2024 03:05:42,9geKuxH4jZtuDny55vRauG8gZNt6y4s7anKhTewUjM9B,PUMPM,2.00,0.01,0.000119342,16758.51,0.000202882,0.000292389,0.000554942,,
18-04-2024 05:01:25,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,2.00,0.01,0.000528782,3782.28,0.000898930,0.001295516,0.002458837,,
18-04-2024 05:12:12,CYVZRsBqxgMFFVf8EqXCVRxS6SuT26M54KPqtF5vhwJd,420BTC,2.00,0.01,0.000067366,29688.61,0.000114522,0.000165046,0.000313251,,
18-04-2024 07:13:22,GWJ5LevQMhRS5fftThW1UYvAdGqesG8rGtEpihVfgw7M,SOLDEX,2.00,0.02,0.000065099,30722.33,0.000110669,0.000159493,0.000302711,,
18-04-2024 08:55:21,AeYvNizf823yEGfRNAhaWbLkBQ8hQmsCGjsBkWk27ntR,LIDER,2.00,0.02,0.000013862,144282.79,0.000023565,0.000033961,0.000064457,,
18-04-2024 09:36:16,F8LvhqLXkcXCztkGGLaRMcU33pVdEoNFn8GUHrZNEqYP,OF,2.00,0.02,0.000035063,57039.94,0.000059607,0.000085905,0.000163044,,
18-04-2024 11:12:51,gMg8xs5Hp2HRmQB85fbQjvX1GqQv5gqLUxASsHFXJJR,APINGBAD,3.00,0.02,0.000137342,21843.30,0.000233481,0.000336488,0.000638640,,
18-04-2024 11:28:30,2pAFnY2Sp6d3kPCm684LuMf7CHakpCo2TQsNa4iXxjPQ,LAMBOW,3.00,0.02,0.000055038,54507.55,0.000093565,0.000134844,0.000255928,,
18-04-2024 12:45:39,9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX,HUSH,3.00,0.02,0.000554747,5407.87,0.000943070,0.001359131,0.002579575,,
18-04-2024 13:05:47,42VBTDfc4wLiPRPwZmLjUgmXKCyUysntSAZ8rnuxCKkL,LV,3.00,0.02,0.000032825,91393.65,0.000055803,0.000080421,0.000152636,,
18-04-2024 13:15:54,8zJgr3VqnTfTRyQzf2RoJEU7Qaz7zESwEA2VPKRCznwy,DIDDY,3.00,0.02,0.001668605,1797.91,0.002836628,0.004088082,0.007759013,,
18-04-2024 13:43:20,HABF15jEVkKBQTNKPTQ1daTL5w1F3ES9G41tXLV86cm2,CROMER,3.00,0.02,0.000093534,32073.80,0.000159008,0.000229159,0.000434934,,
18-04-2024 13:46:36,6GgVewyRN9PGJQbHXBf3YUg99cGQA87Bbx6vNpA3uXit,TOLO,3.00,0.02,0.000111155,26989.33,0.000188964,0.000272330,0.000516871,,
