timestamp,description
06-04-24 17:38:01,dex_data_BOT_v2.py called
06-04-24 17:38:01,reload() function started.
06-04-24 17:40:01,dex_data_BOT_v2.py called
06-04-24 17:40:01,reload() function started.
06-04-24 17:42:01,dex_data_BOT_v2.py called
06-04-24 17:42:01,reload() function started.
06-04-24 17:44:02,dex_data_BOT_v2.py called
06-04-24 17:44:02,reload() function started.
06-04-24 18:00:03,dex_data_BOT_v2.py called
06-04-24 18:00:03,reload() function started.
"06-04-2024 18:21:28","buy_all_from_filtered() starting now."
"06-04-2024 18:21:51","buy_all_from_filtered() starting now."
"06-04-2024 18:40:56","buy_all_from_filtered() starting now."
"06-04-2024 18:53:37","buy_all_from_filtered() starting now."
"06-04-2024 18:57:27","update_account_PNL() starting now."
"06-04-2024 19:15:58","update_account_PNL() starting now."
"06-04-2024 19:20:57","update_account_PNL() starting now."
"06-04-2024 19:30:10","update_account_PNL() starting now."
06-04-24 19:31:14,dex_data_BOT_v2.py called
06-04-24 19:31:14,reload() function started.
06-04-24 19:31:20,dex_data_BOT_v2.py called
06-04-24 19:31:20,reload_initial_list() function started.
06-04-24 19:32:10,dex_data_BOT_v2.py called
06-04-24 19:32:10,reload_initial_list() function started.
"06-04-2024 19:32:22","buy_all_from_filtered() starting now."
"06-04-2024 19:32:35","update_account_PNL() starting now."
06-04-24 20:00:03,dex_data_BOT_v2.py called
06-04-24 20:00:03,reload() function started.
"06-04-2024 20:19:11","update_account_PNL() starting now."
"06-04-2024 20:19:46","update_account_PNL() starting now."
"06-04-2024 20:20:21","update_account_PNL() starting now."
"06-04-2024 20:20:56","update_account_PNL() starting now."
"06-04-2024 20:24:11","update_account_PNL() starting now."
"06-04-2024 20:24:57","buy_all_from_filtered() starting now."
"06-04-2024 20:25:16","update_account_PNL() starting now."
"06-04-2024 20:26:21","update_account_PNL() starting now."
"06-04-2024 20:27:25","update_account_PNL() starting now."
"06-04-2024 20:28:30","update_account_PNL() starting now."
"06-04-2024 20:29:34","update_account_PNL() starting now."
"06-04-2024 20:30:39","update_account_PNL() starting now."
06-04-24 20:31:07,dex_data_BOT_v2.py called
06-04-24 20:31:07,reload_initial_list() function started.
"06-04-2024 20:31:52","update_account_PNL() starting now."
"06-04-2024 20:32:57","update_account_PNL() starting now."
"06-04-2024 20:34:03","update_account_PNL() starting now."
"06-04-2024 20:35:09","update_account_PNL() starting now."
"06-04-2024 20:36:14","update_account_PNL() starting now."
"06-04-2024 20:36:17","buy_all_from_filtered() starting now."
"06-04-2024 20:37:20","update_account_PNL() starting now."
"06-04-2024 20:38:25","update_account_PNL() starting now."
"06-04-2024 20:39:30","update_account_PNL() starting now."
"06-04-2024 20:40:35","update_account_PNL() starting now."
"06-04-2024 20:41:40","update_account_PNL() starting now."
"06-04-2024 20:42:48","update_account_PNL() starting now."
"06-04-2024 20:43:54","update_account_PNL() starting now."
"06-04-2024 20:45:00","update_account_PNL() starting now."
"06-04-2024 20:46:05","update_account_PNL() starting now."
"06-04-2024 20:47:10","update_account_PNL() starting now."
"06-04-2024 20:48:18","update_account_PNL() starting now."
"06-04-2024 20:49:23","update_account_PNL() starting now."
"06-04-2024 20:50:30","update_account_PNL() starting now."
"06-04-2024 20:50:39","buy_all_from_filtered() starting now."
"06-04-2024 20:51:36","update_account_PNL() starting now."
"06-04-2024 20:52:41","update_account_PNL() starting now."
"06-04-2024 20:53:46","update_account_PNL() starting now."
"06-04-2024 20:54:52","update_account_PNL() starting now."
"06-04-2024 20:55:57","update_account_PNL() starting now."
"06-04-2024 20:57:02","update_account_PNL() starting now."
"06-04-2024 20:58:08","update_account_PNL() starting now."
"06-04-2024 20:59:13","update_account_PNL() starting now."
"06-04-2024 21:00:20","update_account_PNL() starting now."
"06-04-2024 21:01:25","update_account_PNL() starting now."
"06-04-2024 21:02:23","buy_all_from_filtered() starting now."
"06-04-2024 21:02:30","update_account_PNL() starting now."
"06-04-2024 21:03:35","update_account_PNL() starting now."
"06-04-2024 21:04:41","update_account_PNL() starting now."
"06-04-2024 21:05:47","update_account_PNL() starting now."
"06-04-2024 21:06:52","update_account_PNL() starting now."
"06-04-2024 21:07:57","update_account_PNL() starting now."
"06-04-2024 21:09:03","update_account_PNL() starting now."
"06-04-2024 21:10:08","update_account_PNL() starting now."
"06-04-2024 21:11:14","update_account_PNL() starting now."
"06-04-2024 21:12:20","update_account_PNL() starting now."
"06-04-2024 21:13:25","update_account_PNL() starting now."
"06-04-2024 21:14:02","buy_all_from_filtered() starting now."
"06-04-2024 21:14:31","update_account_PNL() starting now."
"06-04-2024 21:15:37","update_account_PNL() starting now."
"06-04-2024 21:16:42","update_account_PNL() starting now."
"06-04-2024 21:17:50","update_account_PNL() starting now."
"06-04-2024 21:18:59","update_account_PNL() starting now."
"06-04-2024 21:20:09","update_account_PNL() starting now."
"06-04-2024 21:21:17","update_account_PNL() starting now."
"06-04-2024 21:22:25","update_account_PNL() starting now."
"06-04-2024 21:23:33","update_account_PNL() starting now."
"06-04-2024 21:24:41","update_account_PNL() starting now."
"06-04-2024 21:25:50","update_account_PNL() starting now."
"06-04-2024 21:26:58","update_account_PNL() starting now."
"06-04-2024 21:26:59","buy_all_from_filtered() starting now."
"06-04-2024 21:28:06","update_account_PNL() starting now."
"06-04-2024 21:29:14","update_account_PNL() starting now."
06-04-24 21:29:46,dex_data_BOT_v2.py called
06-04-24 21:29:46,reload_initial_list() function started.
"06-04-2024 21:30:22","update_account_PNL() starting now."
06-04-24 21:30:41,dex_data_BOT_v2.py called
"06-04-2024 21:31:30","update_account_PNL() starting now."
06-04-24 21:31:32,dex_data_BOT_v2.py called
"06-04-2024 21:32:38","update_account_PNL() starting now."
06-04-24 21:32:47,dex_data_BOT_v2.py called
06-04-24 21:33:30,dex_data_BOT_v2.py called
"06-04-2024 21:33:46","update_account_PNL() starting now."
06-04-24 21:34:15,dex_data_BOT_v2.py called
"06-04-2024 21:34:54","update_account_PNL() starting now."
"06-04-2024 21:36:02","update_account_PNL() starting now."
"06-04-2024 21:37:11","update_account_PNL() starting now."
"06-04-2024 21:38:21","update_account_PNL() starting now."
"06-04-2024 21:38:35","buy_all_from_filtered() starting now."
"06-04-2024 21:39:30","update_account_PNL() starting now."
"06-04-2024 21:40:38","update_account_PNL() starting now."
"06-04-2024 21:41:47","update_account_PNL() starting now."
"06-04-2024 21:42:56","update_account_PNL() starting now."
"06-04-2024 21:44:04","update_account_PNL() starting now."
"06-04-2024 21:45:12","update_account_PNL() starting now."
"06-04-2024 21:46:22","update_account_PNL() starting now."
"06-04-2024 21:47:30","update_account_PNL() starting now."
"06-04-2024 21:48:38","update_account_PNL() starting now."
"06-04-2024 21:49:46","update_account_PNL() starting now."
"06-04-2024 21:50:30","buy_all_from_filtered() starting now."
"06-04-2024 21:50:53","update_account_PNL() starting now."
"06-04-2024 21:52:03","update_account_PNL() starting now."
"06-04-2024 21:53:11","update_account_PNL() starting now."
"06-04-2024 21:54:18","update_account_PNL() starting now."
"06-04-2024 21:55:26","update_account_PNL() starting now."
"06-04-2024 21:56:35","update_account_PNL() starting now."
"06-04-2024 21:57:43","update_account_PNL() starting now."
"06-04-2024 21:58:51","update_account_PNL() starting now."
"06-04-2024 22:00:00","update_account_PNL() starting now."
"06-04-2024 22:01:08","update_account_PNL() starting now."
"06-04-2024 22:02:08","buy_all_from_filtered() starting now."
"06-04-2024 22:02:17","update_account_PNL() starting now."
