"date_time","address","token_amount_sold","sol_received","profit_in_usd"
"2024-04-05T17:41:39.131Z","5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k",4200,0,
"2024-04-06T11:34:19.829Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",0.1,0,
"2024-04-06T11:54:04.635Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",0.1,0,
"2024-04-06T11:55:54.459Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",0.1,0,
"2024-04-06T12:03:19.539Z","DsSTWsoBe9Rjf5pFYhvDFqqW1LuQokoSPKDz33WGXbCW",30000,0,
"2024-04-06T12:04:24.327Z","5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k",1000,0,
"2024-04-06T12:13:17.509Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",400,0,
"2024-04-06T12:38:04.596Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",50,0,
"2024-04-06T12:47:00.529Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",50,0,
"2024-04-06T12:51:29.669Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",50,0,
"2024-04-06T12:58:58.549Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",50,0,
"2024-04-06T13:31:14.102Z","7dLqT6NtSGg9WK2e8ZqiHYdrY9ZANu8hKvCtSPo1F6E1",35,0.000052929,0.009215355745185179
"2024-04-06T13:34:25.765Z","5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k",2200,0.051056625,8.894677119429375
"2024-04-06T14:31:41.440Z","wo1zgt8rfrYpvdVi4nidoj1SYfcR4pQx69bmNv2JLhQ",7.647944723,0.001832268,0.31991163532722267
"2024-04-06T14:32:24.518Z","4f76dmS2BjvzE31X2PQRAmnMrzE6LGjM4ypb5rVwQAEi",58497.39771226,0.001077374,0.1880623197830242
"2024-04-06T21:29:59.690Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9",450,0,
"2024-04-06T21:33:41.033Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9",450,0,
"2024-04-06T21:34:52.519Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9",450,0.026775497,4.757840989159084
"2024-04-06T21:39:14.735Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9",24000,0,
"2024-04-06T21:42:24.979Z","CMUt6g8VCETaXAKfZWrKvCSRuG7Kq5dt2WULxsKPHPj9",24000,0,
"2024-04-06T21:46:45.564Z","DsSTWsoBe9Rjf5pFYhvDFqqW1LuQokoSPKDz33WGXbCW",24000,0.019043124,3.3769284381102214
"2024-04-07T11:39:44.159Z","5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k",1575,0,
"2024-04-07T11:41:45.184Z","5QhurU6hPiQthMgWzVjytiCEk5vNreUs5UFTPdUv8q7k",1575,0.024257787,4.384442151140617
"2024-04-07T11:46:40.847Z","32ZhT7wit3mCpuesU7KPS7LTn3w5xceLiJqLv5zVGXg5",27000,0,
"2024-04-07T11:47:28.910Z","32ZhT7wit3mCpuesU7KPS7LTn3w5xceLiJqLv5zVGXg5",27000,0.02430736,4.389379453895258
"2024-04-07T18:29:21.386Z","FkLtrasDw4qtfPi9qsFXfsG4dB6mrKeZtroht5iLZBbV","131042.22",0.020620226,3.689158447091181
"2024-04-07T23:53:10.336Z","4TqWC9qkb2ggN6B2TtNHBkKgjHoKd3erbdWjZEAPnLsy",97000,0.031587757,5.766115704200549
"2024-04-08T03:10:33.167Z","EQ8B4tm9oEzktSVywMSQZeBuofEdAEBqdjhAxR6VjGRE",16932.85,0.014457446,2.6075977318295713
