"tx_date","address","symbol","usd_spent","sol_spent","entryPrice","token_amount_received","TP_price_1","TP_price_2","TP_price_3","PNL","USD_value"
"16-04-2024 12:50:31","97oWtQfbZMdDbn1jdNciDHm2vnPBR8VT3Ns7vSS7i9cm","$PITALIK","2.00","0.01","0.000050367","39708.81","","","0.000231687","233.88 %","1.64"
"17-04-2024 09:56:26","pz8KjM9AHRu8MvjEbxHjZ6RwxQjTgxvTtRsaQtCUyQf","FUX","3.50","0.03","0.000070416","49704.43","","","0.000327436","211.99 %","2.43"
"16-04-2024 22:08:41","6aVBPVpVN6BkHKXJtvfmd5q9yHVPSZX51NVCLyebKGNm","POGE","3.00","0.02","0.000224548","13360.16","","","0.001044149","108.93 %","0.94"
"17-04-2024 07:18:17","AXyYKWZAziPo3q9YavcdWLU6kSMRNMJAj51acu1yzc9t","POGE","2.50","0.02","0.000026427","94600.25","","0.000064746","0.000122886","73.60 %","0.96"
"16-04-2024 20:46:57","Derwt6jk8XzZFU4inEVRvf4212m2QADoqv4vMnMH3mhY","WALL","4.00","0.03","0.000030644","130532.32","","0.000075077","0.000142493","64.70 %","2.59"
"16-04-2024 16:16:07","57E9L2tcMxnnkaG1brwTJA4QhAE8rmpxs8SK2BNTHCDN","tinabu","3.00","0.02","0.000038333","78261.42","","","0.000185915","59.71 %","0.30"
"16-04-2024 14:30:32","39fVXXLYCGh9G4aTHvMoDhWo7yc1sSiUHv47SLoBobkw","GANJA","3.00","0.02","0.000053707","55858.33","","0.000126212","0.000247054","53.97 %","1.58"
"17-04-2024 05:42:51","iNVENTNoEpm4LZx5HYnrbP1zHJcJfeaUh8uoHQtMshN","INVENT","2.50","0.02","0.000004529","552028.61","0.000007699","0.000011095","0.000021059","45.41 %","1.65"
"16-04-2024 18:18:33","su7YDnAjx3gAmUN4jJrxivBcVDEheNRkPGMmXPHVBkN","FAIR","4.00","0.03","0.123748485","32.32","0.222747273","0.327933485","0.600180152","41.57 %","2.35"
"17-04-2024 07:39:11","4V7Q9DKoeHKXYjMAiU4sZE13LpDdRM4o55UpQB4MEmmh","HBTC","2.50","0.02","0.000025759","97052.29","","","0.000119781","38.03 %","0.14"
"17-04-2024 03:04:51","76qFyKWwR3gtLjf9pYhw6mVdyJqHwSTEruh3awHGCfDx","RFKJR","2.50","0.02","0.000020440","122308.63","0.000034748","0.000050078","0.000095046","35.47 %","1.20"
"17-04-2024 17:58:12","FyMoUhEnQvoyAPWBYCuhvpGuf1HRNca3i8TH6emji69g","RUGPUG","3.00","0.02","0.000017415","172266.55","0.000029605","0.000042666","0.000080979","31.22 %","1.23"
"17-04-2024 18:59:28","ChanM2vka4gJ3ob1SejJXnxoNuoAXGGJxDMJRSLD7nzW","SOLCHAN","3.00","0.02","0.000451191","6649.07","0.000767024","0.001105418","0.002098037","11.85 %","0.40"
"17-04-2024 14:32:04","FHn7Ds7Wdi8ToHYqux1ZjuoGZwoWtHB1rmLZFm5cKxfT","FROST","3.00","0.02","0.000040630","73836.21","0.000069072","0.000099545","0.000188932","9.26 %","0.30"
"17-04-2024 04:40:47","CveCBpy6Hf5LjQXFz78vm4fTkwTV2fUHMtWwzpTzXke8","PEPT","2.50","0.02","0.000086762","28814.52","0.000147495","0.000212566","0.000403442","6.14 %","0.17"
"17-04-2024 13:54:04","8TkW3qJckBmg87JxUVjRuEWkhVJqFJ5LgsWai2uCUgMR","SHITOSHI","3.00","0.02","0.002419552","1239.90","0.004113239","0.005927903","0.011250918","5.61 %","0.18"
"16-04-2024 18:27:21","CHE18aZrRiaTpu7Z53U9ycgrjNKUkXHtCq4exfkiS6Wa","DZNUTS","4.00","0.03","0.000040889","97826.95","0.000073599","0.000108355","0.000198309","-2.59 %","-0.10"
"17-04-2024 03:00:42","9Ji8ukZVRLGckAT3MWbt1BVXMp42f8EmASsD9RwoXDFX","HUSH","2.50","0.02","0.000461749","5414.19","0.000784974","0.001131286","0.002147134","-2.79 %","-0.06"
"17-04-2024 17:33:53","AEmUZyBoQ3mZNrjC94rb11VqncZkrDiU73TerwXTdzG3","BOPE","3.00","0.02","0.000013220","226932.14","0.000022474","0.000032389","0.000061472","-10.62 %","-0.28"
"17-04-2024 18:44:51","HYWB4HkyfDSA1i4t4cQaK9cvLHG4nQBRzGX9tzmEmgDr","JURDEN","3.00","0.02","0.000095209","31509.62","0.000161855","0.000233262","0.000442722","-16.52 %","-0.41"
"16-04-2024 21:28:39","GerRJ4R3NZj1HK7g1am4KfBeWfnj9CM8PwRSxjtNwBFT","Weed","3.00","0.02","0.000218467","13732.04","0.000371394","0.000535245","0.001015873","-20.26 %","-0.62"
